hackathon_id,name,start_date,end_date,details,registration_date,created_at
35,DigitalX 18,2025-01-07,2025-01-10,Collaborate with developers and showcase your creative coding skills.,2024-12-30,2024-12-26
36,DigitalX 17,2025-02-26,2025-03-01,Compete in algorithmic problem-solving and system design challenges.,2025-02-18,2025-02-17
37,AlgoRush 18,2025-09-10,2025-09-12,Build sustainable tech solutions for a better future.,2025-08-30,2025-08-29
38,TechTrek 46,2025-01-30,2025-02-04,Compete in algorithmic problem-solving and system design challenges.,2025-01-22,2025-01-20
39,FutureCoders 50,2025-12-08,2025-12-11,Collaborate with developers and showcase your creative coding skills.,2025-11-27,2025-11-24
40,DigitalX 24,2025-08-19,2025-08-23,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-08-14,2025-08-11
41,DigitalX 25,2025-07-22,2025-07-27,Build sustainable tech solutions for a better future.,2025-07-14,2025-07-09
42,CodeMania 40,2025-09-16,2025-09-19,Build sustainable tech solutions for a better future.,2025-09-02,2025-08-31
43,DigitalX 24,2025-11-19,2025-11-22,Compete in algorithmic problem-solving and system design challenges.,2025-11-13,2025-11-11
44,TechOlympiad 27,2025-08-30,2025-09-01,A national-level hackathon focusing on web and AI innovation.,2025-08-19,2025-08-18
45,AlgoRush 18,2025-03-24,2025-03-28,Compete in algorithmic problem-solving and system design challenges.,2025-03-12,2025-03-08
46,CloudHack 34,2026-01-01,2026-01-04,Compete in algorithmic problem-solving and system design challenges.,2025-12-19,2025-12-15
47,CodeSprint 16,2025-05-28,2025-05-30,Build sustainable tech solutions for a better future.,2025-05-19,2025-05-16
48,HackWave 19,2025-02-10,2025-02-15,Build sustainable tech solutions for a better future.,2025-01-26,2025-01-21
49,InnovateX 35,2025-01-31,2025-02-05,Compete in algorithmic problem-solving and system design challenges.,2025-01-24,2025-01-20
50,MegaHack 15,2025-10-26,2025-10-30,A national-level hackathon focusing on web and AI innovation.,2025-10-13,2025-10-09
51,HackWave 31,2025-08-30,2025-09-01,A national-level hackathon focusing on web and AI innovation.,2025-08-24,2025-08-21
52,InnovateX 27,2025-04-12,2025-04-17,Collaborate with developers and showcase your creative coding skills.,2025-04-04,2025-03-30
53,MegaHack 32,2025-10-30,2025-11-01,Compete in algorithmic problem-solving and system design challenges.,2025-10-18,2025-10-15
54,CodeMania 44,2025-02-19,2025-02-21,Compete in algorithmic problem-solving and system design challenges.,2025-02-10,2025-02-05
55,NextGenHack 49,2025-11-28,2025-12-01,A national-level hackathon focusing on web and AI innovation.,2025-11-17,2025-11-15
56,CyberQuest 38,2025-05-19,2025-05-24,Build sustainable tech solutions for a better future.,2025-05-13,2025-05-10
57,FutureCoders 41,2025-08-04,2025-08-09,Build sustainable tech solutions for a better future.,2025-07-27,2025-07-24
58,FutureCoders 3,2025-12-01,2025-12-06,Collaborate with developers and showcase your creative coding skills.,2025-11-25,2025-11-23
59,DigitalX 26,2025-03-15,2025-03-17,Compete in algorithmic problem-solving and system design challenges.,2025-03-06,2025-03-04
60,CodeVerse 18,2025-01-31,2025-02-05,Compete in algorithmic problem-solving and system design challenges.,2025-01-22,2025-01-19
61,CyberQuest 32,2025-02-11,2025-02-13,Build sustainable tech solutions for a better future.,2025-01-30,2025-01-26
62,CyberQuest 25,2025-11-01,2025-11-03,Build sustainable tech solutions for a better future.,2025-10-20,2025-10-15
63,TechOlympiad 9,2025-01-25,2025-01-30,Build sustainable tech solutions for a better future.,2025-01-15,2025-01-13
64,HackZone 32,2025-09-11,2025-09-14,Collaborate with developers and showcase your creative coding skills.,2025-08-28,2025-08-25
65,DevFusion 34,2025-10-03,2025-10-05,A national-level hackathon focusing on web and AI innovation.,2025-09-22,2025-09-20
66,CodeSprint 9,2025-10-14,2025-10-16,Compete in algorithmic problem-solving and system design challenges.,2025-10-06,2025-10-02
67,AI Innovators 5,2025-09-20,2025-09-24,A national-level hackathon focusing on web and AI innovation.,2025-09-13,2025-09-12
68,DigitalX 24,2025-11-24,2025-11-26,Collaborate with developers and showcase your creative coding skills.,2025-11-12,2025-11-07
69,NextGenHack 18,2025-12-13,2025-12-15,Compete in algorithmic problem-solving and system design challenges.,2025-12-02,2025-11-27
70,HackWave 12,2025-12-01,2025-12-05,Collaborate with developers and showcase your creative coding skills.,2025-11-20,2025-11-18
71,NextGenHack 49,2025-10-23,2025-10-27,Collaborate with developers and showcase your creative coding skills.,2025-10-15,2025-10-11
72,TechTrek 44,2025-04-13,2025-04-16,Compete in algorithmic problem-solving and system design challenges.,2025-04-08,2025-04-04
73,HackWave 30,2025-12-20,2025-12-22,Build sustainable tech solutions for a better future.,2025-12-11,2025-12-09
74,DevFusion 13,2025-08-25,2025-08-28,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-08-17,2025-08-14
75,HackHub 40,2025-06-13,2025-06-18,Build sustainable tech solutions for a better future.,2025-06-08,2025-06-06
76,DigitalX 9,2025-10-03,2025-10-08,Compete in algorithmic problem-solving and system design challenges.,2025-09-22,2025-09-21
77,CodeSprint 39,2025-03-18,2025-03-23,Compete in algorithmic problem-solving and system design challenges.,2025-03-04,2025-02-27
78,CodeMania 9,2025-10-04,2025-10-08,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-09-19,2025-09-18
79,TechTrek 12,2025-11-08,2025-11-12,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-26,2025-10-24
80,CodeVerse 17,2025-10-06,2025-10-08,Compete in algorithmic problem-solving and system design challenges.,2025-09-21,2025-09-20
81,DigitalX 6,2025-11-01,2025-11-04,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-18,2025-10-13
82,TechOlympiad 12,2025-11-29,2025-12-04,Compete in algorithmic problem-solving and system design challenges.,2025-11-23,2025-11-22
83,FutureCoders 7,2025-04-08,2025-04-10,Compete in algorithmic problem-solving and system design challenges.,2025-03-26,2025-03-22
84,MegaHack 34,2025-05-12,2025-05-16,Compete in algorithmic problem-solving and system design challenges.,2025-05-01,2025-04-30
85,InnovateX 37,2025-07-18,2025-07-23,Collaborate with developers and showcase your creative coding skills.,2025-07-13,2025-07-11
86,DataStorm 33,2025-03-27,2025-03-31,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-03-18,2025-03-14
87,CloudHack 47,2025-11-11,2025-11-16,Compete in algorithmic problem-solving and system design challenges.,2025-10-29,2025-10-28
88,HackZone 26,2025-07-11,2025-07-13,Compete in algorithmic problem-solving and system design challenges.,2025-07-03,2025-06-29
89,FutureCoders 49,2025-12-21,2025-12-25,A national-level hackathon focusing on web and AI innovation.,2025-12-08,2025-12-06
90,TechTrek 10,2025-08-31,2025-09-02,A national-level hackathon focusing on web and AI innovation.,2025-08-19,2025-08-16
91,CodeFusion 25,2025-12-01,2025-12-05,A national-level hackathon focusing on web and AI innovation.,2025-11-20,2025-11-18
92,CloudHack 47,2025-02-24,2025-02-28,Compete in algorithmic problem-solving and system design challenges.,2025-02-16,2025-02-14
93,NextGenHack 11,2025-05-29,2025-06-03,Collaborate with developers and showcase your creative coding skills.,2025-05-19,2025-05-16
94,CloudHack 10,2025-02-11,2025-02-15,A national-level hackathon focusing on web and AI innovation.,2025-01-28,2025-01-26
95,DigitalX 12,2025-06-30,2025-07-04,Collaborate with developers and showcase your creative coding skills.,2025-06-24,2025-06-20
96,AlgoRush 18,2025-05-13,2025-05-16,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-05-03,2025-05-02
97,CodeMania 21,2025-05-18,2025-05-23,Collaborate with developers and showcase your creative coding skills.,2025-05-06,2025-05-05
98,CyberQuest 47,2025-08-03,2025-08-07,A national-level hackathon focusing on web and AI innovation.,2025-07-25,2025-07-23
99,TechTrek 33,2025-03-29,2025-04-01,A national-level hackathon focusing on web and AI innovation.,2025-03-19,2025-03-14
100,AI Innovators 41,2025-05-30,2025-06-03,Collaborate with developers and showcase your creative coding skills.,2025-05-15,2025-05-13
101,DataStorm 49,2025-05-17,2025-05-22,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-05-03,2025-04-29
102,MegaHack 25,2025-03-23,2025-03-28,A national-level hackathon focusing on web and AI innovation.,2025-03-16,2025-03-15
103,TechOlympiad 40,2025-07-16,2025-07-18,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-07-03,2025-07-02
104,DevFusion 45,2025-06-23,2025-06-25,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-06-11,2025-06-06
105,TechOlympiad 29,2025-06-23,2025-06-25,Build sustainable tech solutions for a better future.,2025-06-15,2025-06-12
106,CloudHack 43,2025-12-28,2025-12-31,Build sustainable tech solutions for a better future.,2025-12-18,2025-12-15
107,HackZone 50,2025-08-07,2025-08-09,A national-level hackathon focusing on web and AI innovation.,2025-07-26,2025-07-24
108,TechOlympiad 16,2025-09-13,2025-09-17,Compete in algorithmic problem-solving and system design challenges.,2025-09-01,2025-08-28
109,CodeSprint 8,2025-07-17,2025-07-19,Collaborate with developers and showcase your creative coding skills.,2025-07-07,2025-07-06
110,MegaHack 8,2025-07-19,2025-07-21,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-07-04,2025-07-01
111,CyberQuest 16,2025-05-11,2025-05-16,A national-level hackathon focusing on web and AI innovation.,2025-04-27,2025-04-26
112,FutureCoders 13,2025-02-27,2025-03-04,Build sustainable tech solutions for a better future.,2025-02-21,2025-02-20
113,DigitalX 20,2025-10-26,2025-10-29,Compete in algorithmic problem-solving and system design challenges.,2025-10-17,2025-10-15
114,CodeMania 42,2025-04-18,2025-04-20,A national-level hackathon focusing on web and AI innovation.,2025-04-11,2025-04-10
115,AlgoRush 38,2025-05-17,2025-05-22,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-05-06,2025-05-05
116,HackWave 24,2025-02-25,2025-03-01,Collaborate with developers and showcase your creative coding skills.,2025-02-18,2025-02-17
117,NextGenHack 38,2025-10-30,2025-11-01,A national-level hackathon focusing on web and AI innovation.,2025-10-24,2025-10-19
118,CodeFusion 40,2025-07-11,2025-07-14,Build sustainable tech solutions for a better future.,2025-07-04,2025-07-01
119,NextGenHack 20,2025-05-19,2025-05-23,A national-level hackathon focusing on web and AI innovation.,2025-05-09,2025-05-05
120,CodeVerse 16,2025-10-13,2025-10-16,Build sustainable tech solutions for a better future.,2025-09-30,2025-09-28
121,AI Innovators 49,2025-03-04,2025-03-09,Compete in algorithmic problem-solving and system design challenges.,2025-02-21,2025-02-16
122,TechOlympiad 12,2025-01-29,2025-02-03,Collaborate with developers and showcase your creative coding skills.,2025-01-16,2025-01-13
123,NextGenHack 4,2025-01-11,2025-01-13,Build sustainable tech solutions for a better future.,2025-01-05,2025-01-04
124,InnovateX 16,2025-12-22,2025-12-26,Compete in algorithmic problem-solving and system design challenges.,2025-12-13,2025-12-10
125,HackWave 15,2025-11-28,2025-11-30,A national-level hackathon focusing on web and AI innovation.,2025-11-22,2025-11-20
126,AlgoRush 23,2025-10-17,2025-10-19,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-02,2025-09-27
127,TechTrek 25,2025-10-30,2025-11-04,Collaborate with developers and showcase your creative coding skills.,2025-10-23,2025-10-21
128,CodeMania 35,2025-06-12,2025-06-15,Collaborate with developers and showcase your creative coding skills.,2025-06-05,2025-06-04
129,AI Innovators 9,2025-11-06,2025-11-08,Compete in algorithmic problem-solving and system design challenges.,2025-10-28,2025-10-23
130,TechTrek 36,2025-06-02,2025-06-06,Compete in algorithmic problem-solving and system design challenges.,2025-05-26,2025-05-22
131,DigitalX 9,2025-03-08,2025-03-10,Collaborate with developers and showcase your creative coding skills.,2025-02-28,2025-02-26
132,DataStorm 28,2025-11-30,2025-12-03,Compete in algorithmic problem-solving and system design challenges.,2025-11-17,2025-11-14
133,CodeSprint 8,2025-01-16,2025-01-19,Build sustainable tech solutions for a better future.,2025-01-06,2025-01-01
134,CodeSprint 2,2025-02-01,2025-02-05,Collaborate with developers and showcase your creative coding skills.,2025-01-24,2025-01-20
135,HackZone 50,2025-12-22,2025-12-26,Collaborate with developers and showcase your creative coding skills.,2025-12-13,2025-12-09
136,MegaHack 5,2025-05-10,2025-05-14,Build sustainable tech solutions for a better future.,2025-05-05,2025-05-02
137,NextGenHack 18,2025-09-12,2025-09-16,A national-level hackathon focusing on web and AI innovation.,2025-09-04,2025-09-03
138,TechTrek 2,2025-06-01,2025-06-04,Collaborate with developers and showcase your creative coding skills.,2025-05-24,2025-05-21
139,AlgoRush 50,2025-04-22,2025-04-25,Compete in algorithmic problem-solving and system design challenges.,2025-04-07,2025-04-02
140,FutureCoders 44,2025-08-22,2025-08-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-08-17,2025-08-15
141,AlgoRush 7,2025-07-08,2025-07-12,Compete in algorithmic problem-solving and system design challenges.,2025-06-28,2025-06-23
142,NextGenHack 43,2025-05-12,2025-05-17,Build sustainable tech solutions for a better future.,2025-04-27,2025-04-22
143,MegaHack 13,2025-11-04,2025-11-09,Build sustainable tech solutions for a better future.,2025-10-26,2025-10-24
144,TechOlympiad 18,2025-07-31,2025-08-05,Compete in algorithmic problem-solving and system design challenges.,2025-07-16,2025-07-12
145,CodeFusion 30,2025-07-08,2025-07-11,A national-level hackathon focusing on web and AI innovation.,2025-06-29,2025-06-28
146,DataStorm 4,2025-04-07,2025-04-10,Compete in algorithmic problem-solving and system design challenges.,2025-03-26,2025-03-25
147,FutureCoders 25,2025-09-18,2025-09-22,Collaborate with developers and showcase your creative coding skills.,2025-09-10,2025-09-07
148,HackZone 12,2025-06-29,2025-07-01,Build sustainable tech solutions for a better future.,2025-06-16,2025-06-15
149,CodeVerse 6,2025-01-12,2025-01-14,Build sustainable tech solutions for a better future.,2024-12-28,2024-12-24
150,CodeSprint 22,2025-07-13,2025-07-16,Collaborate with developers and showcase your creative coding skills.,2025-07-08,2025-07-06
151,AlgoRush 4,2025-04-08,2025-04-13,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-03-24,2025-03-22
152,HackZone 20,2025-07-10,2025-07-12,A national-level hackathon focusing on web and AI innovation.,2025-06-27,2025-06-23
153,AlgoRush 46,2025-06-05,2025-06-10,Build sustainable tech solutions for a better future.,2025-05-26,2025-05-23
154,AI Innovators 1,2025-09-24,2025-09-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-09-19,2025-09-17
155,DevFusion 42,2025-03-14,2025-03-19,A national-level hackathon focusing on web and AI innovation.,2025-03-08,2025-03-03
156,DigitalX 12,2025-05-23,2025-05-28,A national-level hackathon focusing on web and AI innovation.,2025-05-15,2025-05-10
157,CodeMania 5,2025-05-06,2025-05-09,A national-level hackathon focusing on web and AI innovation.,2025-04-24,2025-04-22
158,HackWave 26,2025-04-27,2025-04-29,Compete in algorithmic problem-solving and system design challenges.,2025-04-16,2025-04-13
159,FutureCoders 30,2025-05-07,2025-05-10,Collaborate with developers and showcase your creative coding skills.,2025-04-25,2025-04-23
160,DataStorm 7,2025-04-28,2025-05-01,Compete in algorithmic problem-solving and system design challenges.,2025-04-14,2025-04-12
161,NextGenHack 20,2025-09-18,2025-09-22,A national-level hackathon focusing on web and AI innovation.,2025-09-09,2025-09-07
162,HackWave 23,2025-12-15,2025-12-19,Build sustainable tech solutions for a better future.,2025-12-02,2025-12-01
163,TechOlympiad 46,2025-12-11,2025-12-13,Build sustainable tech solutions for a better future.,2025-12-05,2025-12-01
164,AlgoRush 35,2025-10-09,2025-10-11,Build sustainable tech solutions for a better future.,2025-10-02,2025-09-27
165,FutureCoders 12,2025-02-09,2025-02-14,A national-level hackathon focusing on web and AI innovation.,2025-01-29,2025-01-27
166,CodeSprint 43,2025-04-13,2025-04-15,Compete in algorithmic problem-solving and system design challenges.,2025-04-01,2025-03-31
167,CodeSprint 8,2025-01-12,2025-01-14,Compete in algorithmic problem-solving and system design challenges.,2025-01-05,2025-01-01
168,DevFusion 7,2025-04-21,2025-04-25,Compete in algorithmic problem-solving and system design challenges.,2025-04-07,2025-04-03
169,CodeMania 30,2025-12-22,2025-12-24,A national-level hackathon focusing on web and AI innovation.,2025-12-10,2025-12-06
170,DevFusion 22,2025-09-14,2025-09-17,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-09-06,2025-09-04
171,CyberQuest 29,2025-10-10,2025-10-12,A national-level hackathon focusing on web and AI innovation.,2025-09-25,2025-09-21
172,AI Innovators 5,2025-10-14,2025-10-18,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-08,2025-10-07
173,CodeFusion 34,2025-05-05,2025-05-07,A national-level hackathon focusing on web and AI innovation.,2025-04-26,2025-04-23
174,CloudHack 11,2025-10-16,2025-10-19,A national-level hackathon focusing on web and AI innovation.,2025-10-07,2025-10-04
175,NextGenHack 16,2025-09-09,2025-09-12,A national-level hackathon focusing on web and AI innovation.,2025-08-29,2025-08-28
176,HackWave 33,2025-10-04,2025-10-06,Collaborate with developers and showcase your creative coding skills.,2025-09-21,2025-09-18
177,CodeFusion 26,2025-06-13,2025-06-18,Collaborate with developers and showcase your creative coding skills.,2025-06-07,2025-06-04
178,HackWave 34,2025-07-22,2025-07-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-07-08,2025-07-06
179,HackZone 8,2025-01-25,2025-01-27,Collaborate with developers and showcase your creative coding skills.,2025-01-18,2025-01-17
180,CyberQuest 45,2025-10-31,2025-11-03,A national-level hackathon focusing on web and AI innovation.,2025-10-16,2025-10-11
181,AlgoRush 16,2025-02-09,2025-02-11,A national-level hackathon focusing on web and AI innovation.,2025-02-02,2025-01-30
182,FutureCoders 18,2025-07-24,2025-07-27,A national-level hackathon focusing on web and AI innovation.,2025-07-11,2025-07-10
183,FutureCoders 24,2025-06-03,2025-06-05,A national-level hackathon focusing on web and AI innovation.,2025-05-19,2025-05-18
184,HackZone 26,2025-09-29,2025-10-02,Collaborate with developers and showcase your creative coding skills.,2025-09-21,2025-09-19
185,CodeVerse 29,2025-09-07,2025-09-12,Build sustainable tech solutions for a better future.,2025-08-25,2025-08-24
186,CodeVerse 35,2025-07-09,2025-07-14,Compete in algorithmic problem-solving and system design challenges.,2025-06-26,2025-06-21
187,DigitalX 32,2025-06-26,2025-06-30,Build sustainable tech solutions for a better future.,2025-06-12,2025-06-10
188,DigitalX 18,2025-10-23,2025-10-28,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-09,2025-10-06
189,CloudHack 7,2025-07-05,2025-07-10,A national-level hackathon focusing on web and AI innovation.,2025-06-20,2025-06-15
190,HackWave 45,2025-10-31,2025-11-03,Collaborate with developers and showcase your creative coding skills.,2025-10-23,2025-10-19
191,AlgoRush 21,2025-03-17,2025-03-19,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-03-09,2025-03-05
192,InnovateX 38,2025-01-05,2025-01-09,Compete in algorithmic problem-solving and system design challenges.,2024-12-26,2024-12-23
193,CodeVerse 30,2025-09-10,2025-09-13,Collaborate with developers and showcase your creative coding skills.,2025-08-27,2025-08-23
194,AlgoRush 38,2025-09-06,2025-09-10,A national-level hackathon focusing on web and AI innovation.,2025-08-24,2025-08-22
195,TechTrek 10,2025-09-04,2025-09-07,Compete in algorithmic problem-solving and system design challenges.,2025-08-23,2025-08-22
196,DigitalX 19,2025-11-16,2025-11-20,Collaborate with developers and showcase your creative coding skills.,2025-11-11,2025-11-09
197,TechTrek 14,2025-11-05,2025-11-10,Build sustainable tech solutions for a better future.,2025-10-25,2025-10-24
198,CodeSprint 45,2025-02-12,2025-02-14,Collaborate with developers and showcase your creative coding skills.,2025-02-06,2025-02-02
199,CodeVerse 39,2025-08-19,2025-08-22,Build sustainable tech solutions for a better future.,2025-08-04,2025-07-30
200,AI Innovators 15,2025-03-13,2025-03-16,Build sustainable tech solutions for a better future.,2025-02-26,2025-02-22
201,HackHub 40,2025-02-19,2025-02-22,Compete in algorithmic problem-solving and system design challenges.,2025-02-14,2025-02-11
202,InnovateX 39,2025-09-27,2025-10-01,Build sustainable tech solutions for a better future.,2025-09-22,2025-09-21
203,CloudHack 26,2025-08-08,2025-08-11,A national-level hackathon focusing on web and AI innovation.,2025-07-26,2025-07-21
204,HackZone 3,2025-04-16,2025-04-18,A national-level hackathon focusing on web and AI innovation.,2025-04-02,2025-03-29
205,CodeFusion 6,2025-01-13,2025-01-16,Build sustainable tech solutions for a better future.,2025-01-07,2025-01-02
206,DigitalX 14,2025-03-21,2025-03-26,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-03-06,2025-03-02
207,CyberQuest 35,2025-01-27,2025-01-30,Build sustainable tech solutions for a better future.,2025-01-19,2025-01-17
208,DataStorm 8,2025-04-20,2025-04-24,Compete in algorithmic problem-solving and system design challenges.,2025-04-07,2025-04-04
209,CodeVerse 24,2025-02-09,2025-02-11,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-01-28,2025-01-23
210,CodeFusion 13,2025-03-26,2025-03-28,Compete in algorithmic problem-solving and system design challenges.,2025-03-19,2025-03-15
211,AlgoRush 36,2025-02-06,2025-02-08,Collaborate with developers and showcase your creative coding skills.,2025-02-01,2025-01-31
212,DigitalX 36,2025-09-15,2025-09-19,Build sustainable tech solutions for a better future.,2025-09-02,2025-08-28
213,HackZone 35,2025-11-05,2025-11-10,A national-level hackathon focusing on web and AI innovation.,2025-10-22,2025-10-17
214,CodeMania 29,2025-02-12,2025-02-16,Collaborate with developers and showcase your creative coding skills.,2025-02-05,2025-02-01
215,AlgoRush 8,2025-04-15,2025-04-18,Build sustainable tech solutions for a better future.,2025-04-06,2025-04-04
216,FutureCoders 24,2025-11-23,2025-11-25,Collaborate with developers and showcase your creative coding skills.,2025-11-09,2025-11-07
217,TechOlympiad 48,2025-06-03,2025-06-06,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-05-21,2025-05-17
218,InnovateX 11,2025-02-22,2025-02-24,Collaborate with developers and showcase your creative coding skills.,2025-02-10,2025-02-06
219,CodeFusion 7,2025-06-10,2025-06-14,A national-level hackathon focusing on web and AI innovation.,2025-05-30,2025-05-26
220,AI Innovators 15,2025-02-20,2025-02-25,Collaborate with developers and showcase your creative coding skills.,2025-02-08,2025-02-05
221,CodeMania 38,2025-12-12,2025-12-16,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-11-30,2025-11-29
222,CloudHack 41,2025-11-02,2025-11-04,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-20,2025-10-19
223,TechTrek 1,2025-11-27,2025-12-02,Compete in algorithmic problem-solving and system design challenges.,2025-11-16,2025-11-15
224,HackWave 15,2025-10-21,2025-10-23,Compete in algorithmic problem-solving and system design challenges.,2025-10-10,2025-10-05
225,MegaHack 49,2025-02-27,2025-03-01,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-02-17,2025-02-12
226,HackHub 13,2025-08-28,2025-09-01,Build sustainable tech solutions for a better future.,2025-08-13,2025-08-09
227,DigitalX 30,2025-04-27,2025-04-30,Compete in algorithmic problem-solving and system design challenges.,2025-04-18,2025-04-13
228,TechTrek 18,2025-03-03,2025-03-05,Compete in algorithmic problem-solving and system design challenges.,2025-02-16,2025-02-12
229,CodeSprint 46,2025-07-30,2025-08-01,Build sustainable tech solutions for a better future.,2025-07-17,2025-07-14
230,DevFusion 10,2025-07-20,2025-07-25,A national-level hackathon focusing on web and AI innovation.,2025-07-09,2025-07-08
231,NextGenHack 26,2025-05-04,2025-05-08,Build sustainable tech solutions for a better future.,2025-04-20,2025-04-17
232,DataStorm 42,2025-04-23,2025-04-25,Compete in algorithmic problem-solving and system design challenges.,2025-04-18,2025-04-15
